event_title,description,location_name,location_address,latitude,longitude,Venue,start_date,end_date,event_start_time,event_end_time,Hide End Time from calendar(time_permission),repeating_event,website,phone_number,is_active,set_time,cover_charge,buy_now_link,reserve_seat_link,event_tags,jazz_types_id,video,video2,video3,artist,
Lezlie Harrison,Lezlie Harrison,333 lounge,333 Flatbush Ave.,,,Brooklyn,05-01-2024,,,,,Yes,,,,,,,,,,,,,,
"James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard","James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-01-2024,05-01-2024,20:00:00,21:00:00,,,,,1,,,,,,,,,,,
"James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard","James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-01-2024,05-01-2024,21:30:00,22:30:00,,,,,1,,,,,,,,,,,
"Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton","Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-02-2024,05-02-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton","Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-02-2024,05-02-2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard","Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-08-2024,05-08-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard","Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-08-2024,05-08-2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Bruce Barth w/Adam Kolker, Jeremy Stratton","Bruce Barth w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-09-2024,05-09-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Bruce Barth w/Adam Kolker, Jeremy Stratton","Bruce Barth w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-09-2024,05-09-2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Igor Lumpert w/Peter Evans, Jeff Miles, Drew Gress, Kenny Grohowski","Igor Lumpert w/Peter Evans, Jeff Miles, Drew Gress, Kenny Grohowski",Bar Bayeux,,,,Brooklyn,05-10-2024,05-10-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Igor Lumpert w/Peter Evans, Jeff Miles, Drew Gress, Kenny Grohowski","Igor Lumpert w/Peter Evans, Jeff Miles, Drew Gress, Kenny Grohowski",Bar Bayeux,,,,Brooklyn,05-10-2024,05-10-2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Jerome Sabbagh & Melissa Aldana w/Joe Martin, Bill Stewart","Jerome Sabbagh & Melissa Aldana w/Joe Martin, Bill Stewart",Bar Bayeux,,,,Brooklyn,05/15/2024,05/15/2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Jerome Sabbagh & Melissa Aldana w/Joe Martin, Bill Stewart","Jerome Sabbagh & Melissa Aldana w/Joe Martin, Bill Stewart",Bar Bayeux,,,,Brooklyn,05/15/2024,05/15/2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Charlie Ballantine Qt w/Jon Cowherd, Tony Scherr, Dave King","Charlie Ballantine Qt w/Jon Cowherd, Tony Scherr, Dave King",Bar Bayeux,,,,Brooklyn,05/22/2024,05/22/2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Charlie Ballantine Qt w/Jon Cowherd, Tony Scherr, Dave King","Charlie Ballantine Qt w/Jon Cowherd, Tony Scherr, Dave King",Bar Bayeux,,,,Brooklyn,05/22/2024,05/22/2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Peter Bernstein w/Adam Kolker, Jeremy Stratton","Peter Bernstein w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05/23/2024,05/23/2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Peter Bernstein w/Adam Kolker, Jeremy Stratton","Peter Bernstein w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05/23/2024,05/23/2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
Duo Series - Carmen Staaf w/Adam Kolker,Duo Series - Carmen Staaf w/Adam Kolker,Bar Bayeux,,,,Brooklyn,05/25/2024,05/25/2024,18:00:00,19:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,One drink minimum,,,,,,,,,
Duo Series - Carmen Staaf w/Adam Kolker,Duo Series - Carmen Staaf w/Adam Kolker,Bar Bayeux,,,,Brooklyn,05/25/2024,05/25/2024,19:30:00,20:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,One drink minimum,,,,,,,,,
"Julieta Eugenio Trio + special guest, w/Matt Dwonszyk, Jonathan Barber Album release concert for “STAY""","Julieta Eugenio Trio + special guest, w/Matt Dwonszyk, Jonathan Barber Album release concert for “STAY""",Bar Bayeux,,,,Brooklyn,05/29/2024,05/29/2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Julieta Eugenio Trio + special guest, w/Matt Dwonszyk, Jonathan Barber Album release concert for “STAY""","Julieta Eugenio Trio + special guest, w/Matt Dwonszyk, Jonathan Barber Album release concert for “STAY""",Bar Bayeux,,,,Brooklyn,05/29/2024,05/29/2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Grassroots Jazz Effort w/Adam Kolker, Jerome Sabbagh, Jeremy Stratton, George Schuller","Grassroots Jazz Effort w/Adam Kolker, Jerome Sabbagh, Jeremy Stratton, George Schuller",Bar Bayeux,,,,Brooklyn,05/30/2024,05/30/2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Grassroots Jazz Effort w/Adam Kolker, Jerome Sabbagh, Jeremy Stratton, George Schuller","Grassroots Jazz Effort w/Adam Kolker, Jerome Sabbagh, Jeremy Stratton, George Schuller",Bar Bayeux,,,,Brooklyn,05/30/2024,05/30/2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
Slavic Soul Party,Slavic Soul Party,Barbès,,,,Brooklyn,05-01-2024,05-01-2024,21:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,Ticket price not available,,,,,,,,,
"MUSICS: Ilusha Tsinadze, Gocha Tsinadze, Chris Tordini, and Jason Nazary","MUSICS: Ilusha Tsinadze, Gocha Tsinadze, Chris Tordini, and Jason Nazary",Barbès,,,,Brooklyn,05-02-2024,05-02-2024,19:00:00,20:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
"The Andy Statman Trio featuring Larry Eagle, Jim Whitney and Andy Statman","The Andy Statman Trio featuring Larry Eagle, Jim Whitney and Andy Statman",Barbès,,,,Brooklyn,05-02-2024,05-02-2024,20:30:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
Mamady Kouyate's Mandingo Ambassadors,Mamady Kouyate's Mandingo Ambassadors,Barbès,,,,Brooklyn,05-02-2024,05-02-2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
FALSA - Sufi Music featuring Umer Piracha- Vocals; Roshni Samlal- Tabla; Siddharth Ashokkumar - Carnatic Violin; Tom Deis - Bass VI and Harmonium; Paul Arendt - Spanish Guitar,FALSA - Sufi Music featuring Umer Piracha- Vocals; Roshni Samlal- Tabla; Siddharth Ashokkumar - Carnatic Violin; Tom Deis - Bass VI and Harmonium; Paul Arendt - Spanish Guitar,Barbès,,,,Brooklyn,05-03-2024,05-03-2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Combo Daguerre,Combo Daguerre,Barbès,,,,Brooklyn,05-04-2024,05-04-2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Big Lazy,Big Lazy,Barbès,,,,Brooklyn,05-04-2024,05-04-2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Alex Asher & Slow Motion,Alex Asher & Slow Motion,Barbès,,,,Brooklyn,05-05-2024,05-05-2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Banda de Los Muertos,Banda de Los Muertos,Barbès,,,,Brooklyn,05-05-2024,05-05-2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
Stephane Wrembel presents: DJANGO A GOGO,Stephane Wrembel presents: DJANGO A GOGO,Barbès,,,,Brooklyn,05-06-2024,05-06-2024,20:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Tamar Korn and Friends,Tamar Korn and Friends,Barbès,,,,Brooklyn,05-08-2024,05-08-2024,19:00:00,20:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Slavic Soul Party,Slavic Soul Party,Barbès,,,,Brooklyn,05-08-2024,05-08-2024,21:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,Ticket price not available,,,,,,,,,
Mamady Kouyate's Mandingo Ambassadors,Mamady Kouyate's Mandingo Ambassadors,Barbès,,,,Brooklyn,05-09-2024,05-09-2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Miss Maybell & The Jazz Age Artistes,Miss Maybell & The Jazz Age Artistes,Barbès,,,,Brooklyn,05-10-2024,05-10-2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
The Underground Spiritual Game and Special Guests,The Underground Spiritual Game and Special Guests,Barbès,,,,Brooklyn,05-11-2024,05-11-2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Maendros,Maendros,Barbès,,,,Brooklyn,05/13/2024,05/13/2024,18:00:00,19:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,Ticket price not available,,,,,,,,,
Slavic Soul Party,Slavic Soul Party,Barbès,,,,Brooklyn,05/15/2024,05/15/2024,21:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,Ticket price not available,,,,,,,,,
Buck And A Quarter Quartet,Buck And A Quarter Quartet,Barbès,,,,Brooklyn,05/16/2024,05/16/2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Mamady Kouyate's Mandingo Ambassadors,Mamady Kouyate's Mandingo Ambassadors,Barbès,,,,Brooklyn,05/16/2024,05/16/2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
The Pre-War Ponies,The Pre-War Ponies,Barbès,,,,Brooklyn,05/17/2024,05/17/2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Living Language,Living Language,Barbès,,,,Brooklyn,05/17/2024,05/17/2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
La Lá,La Lá,Barbès,,,,Brooklyn,05/19/2024,05/19/2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
Brooklyn Qawwali Party,Brooklyn Qawwali Party,Barbès,,,,Brooklyn,05/19/2024,05/19/2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
Curtis Hasselbring and his Curhachestra,Curtis Hasselbring and his Curhachestra,Barbès,,,,Brooklyn,05/20/2024,05/20/2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Tambor y Caña - Afro-Venezuelan Percussion,Tambor y Caña - Afro-Venezuelan Percussion,Barbès,,,,Brooklyn,05/20/2024,05/20/2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Reginald Chapman's Chaphouse,Reginald Chapman's Chaphouse,Barbès,,,,Brooklyn,05/21/2024,05/21/2024,19:00:00,20:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Tamar Korn and Friends,Tamar Korn and Friends,Barbès,,,,Brooklyn,05/22/2024,05/22/2024,19:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Slavic Soul Party,Slavic Soul Party,Barbès,,,,Brooklyn,05/22/2024,05/22/2024,21:30:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,Ticket price not available,,,,,,,,,
Mamady Kouyate's Mandingo Ambassadors,Mamady Kouyate's Mandingo Ambassadors,Barbès,,,,Brooklyn,05/23/2024,05/23/2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Brain Cloud,Brain Cloud,Barbès,,,,Brooklyn,05/24/2024,05/24/2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
Helen Gillet,Helen Gillet,Barbès,,,,Brooklyn,05/26/2024,05/26/2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$15,,,,,,,,,
Stéphane Wrembel,Stéphane Wrembel,Barbès,,,,Brooklyn,05/27/2024,05/27/2024,20:00:00,21:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Baklava Express,Baklava Express,Barbès,,,,Brooklyn,05/27/2024,05/27/2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
Slavic Soul Party,Slavic Soul Party,Barbès,,,,Brooklyn,05/28/2024,05/28/2024,21:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,Ticket price not available,,,,,,,,,
Three Blind Mice,Three Blind Mice,Barbès,,,,Brooklyn,05/29/2024,05/29/2024,19:00:00,20:30:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$15,,,,,,,,,suggested
Mamady Kouyate's Mandingo Ambassadors,Mamady Kouyate's Mandingo Ambassadors,Barbès,,,,Brooklyn,05/30/2024,05/30/2024,22:00:00,23:55:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,suggested
The Lovestruck Balladeers,The Lovestruck Balladeers,Barbès,,,,Brooklyn,05/31/2024,05/31/2024,19:30:00,21:00:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
The Lovestruck Balladeers,The Lovestruck Balladeers,Barbès,,,,Brooklyn,05/31/2024,05/31/2024,21:30:00,23:00:00,,,https://www.barbesbrooklyn.com/events,(347) 422-0248,1,,$20,,,,,,,,,
Matt Lavon,Matt Lavon,Basik,,,,Brooklyn,Sundays,Sundays,19:00:00,22:00:00,,Yes,https://www.basikbrooklyn.com/,(347) 889-7597,1,Jam 7-10pm,Free admission,,,,,,,,,
Joe Fiedler's New Quartet,Joe Fiedler's New Quartet,IBEAM,,,,Brooklyn,05-04-2024,05-04-2024,19:30:00,21:30:00,,,https://www.ibeambrooklyn.com/,No phone no,1,,$20,,,,,,,,,
Joe Fonda From The Source at Wide Open Works,Joe Fonda From The Source at Wide Open Works,IBEAM,,,,Brooklyn,05-08-2024,05-08-2024,20:00:00,22:00:00,,,https://www.ibeambrooklyn.com/,No phone no,1,,$20,,,,,,,,,
Tony Romano Quartet - Wide Open Works,Tony Romano Quartet - Wide Open Works,IBEAM,,,,Brooklyn,05/17/2024,05/17/2024,20:00:00,21:30:00,,,https://www.ibeambrooklyn.com/,No phone no,1,,$20,,,,,,,,,
Tim Berne w/ TBA,Tim Berne w/ TBA,Lowlands Bar,,,,Brooklyn,05-02-2024,05-02-2024,20:00:00,21:30:00,,,https://www.lowlandsbar.com/events,(347) 463 9458,1,,Ticket price not available,,,,,,,,,
Tim Berne w/ TBA,Tim Berne w/ TBA,Lowlands Bar,,,,Brooklyn,05-09-2024,05-09-2024,20:00:00,21:30:00,,,https://www.lowlandsbar.com/events,(347) 463 9458,1,,Ticket price not available,,,,,,,,,
Tim Berne w/ TBA,Tim Berne w/ TBA,Lowlands Bar,,,,Brooklyn,05/16/2024,05/16/2024,20:00:00,21:30:00,,,https://www.lowlandsbar.com/events,(347) 463 9458,1,,Ticket price not available,,,,,,,,,
New York Youth Symphony,New York Youth Symphony,National Sawdust,,,,Brooklyn,05/20/2024,05/20/2024,19:30:00,21:30:00,,,https://www.nationalsawdust.org/event/new-york-youth-symphony-composition-date-2024,(646) 779 8455,1,,$30,,,,,,,,,
Miles Hewitt • Rachel Sumner & Traveling Light,Miles Hewitt • Rachel Sumner & Traveling Light,The Owl Music Parlor,,,,Brooklyn,05-09-2024,05-09-2024,20:00:00,,,,https://theowl.nyc/,(718) 774 0042,1,,Ticket price not available,,,,,,,,,
"Long Play Festival 2024: Deerhoof // Eileen Myles, Steve Gunn and Ryan Sawyer Trio // Du Yun + OK Miss // The Jazz Passengers","Long Play Festival 2024: Deerhoof // Eileen Myles, Steve Gunn and Ryan Sawyer Trio // Du Yun + OK Miss // The Jazz Passengers",Roulette,,,,Brooklyn,05-05-2024,05-05-2024,20:30:00,,,,https://roulette.org/group/music/page/2/,(917) 267 0363,1,,$30,,,,,,,,,
Gabby Fluke-Mogul: GUT,Gabby Fluke-Mogul: GUT,Roulette,,,,Brooklyn,05-06-2024,05-06-2024,20:00:00,,,,https://roulette.org/group/music/page/2/,(917) 267 0363,1,,$25,,,,,,,,,
Holman Alvarez,Holman Alvarez,Scholes Street Studio,,,,Brooklyn,05/29/2024,05/29/2024,20:00:00,,,,https://www.scholesstreetstudio.com/news-events/index.html,(718) 964 8763,1,,Ticket price not available,,,,,,,,,
Joe Morris Quartet,Joe Morris Quartet,Scholes Street Studio,,,,Brooklyn,05/31/2024,05/31/2024,20:00:00,,,,https://www.scholesstreetstudio.com/news-events/index.html,(718) 964 8763,1,,Ticket price not available,,,,,,,,,
Makrokosmos Orchestra,Makrokosmos Orchestra,ShapeShifter Café,,,,Brooklyn,05-03-2024,05-03-2024,21:00:00,22:00:00,,,https://shapeshifterplus.org/events/month/2024-05/,(646) 820 9452,1,,$20,,,,,,,,,
Mattan Klein & Tammy Scheffer Group,Mattan Klein & Tammy Scheffer Group,ShapeShifter Café,,,,Brooklyn,05-05-2024,05-05-2024,19:00:00,20:00:00,,,https://shapeshifterplus.org/events/month/2024-05/,(646) 820 9452,1,,$20,,,,,,,,,
Variego3: Recompensa,Variego3: Recompensa,ShapeShifter Café,,,,Brooklyn,05-09-2024,05-09-2024,21:00:00,22:00:00,,,https://shapeshifterplus.org/events/month/2024-05/,(646) 820 9452,1,,$20,,,,,,,,,
"NYC Ska Orchestra
","NYC Ska Orchestra
",ShapeShifter Café,,,,Brooklyn,05-10-2024,05-10-2024,19:30:00,23:00:00,,,https://shapeshifterplus.org/events/month/2024-05/,(646) 820 9452,1,,$25,,,,,,,,,
Neal Kirkwood Big Band,Neal Kirkwood Big Band,ShapeShifter Café,,,,Brooklyn,05/16/2024,05/16/2024,19:00:00,20:30:00,,,https://shapeshifterplus.org/events/month/2024-05/,(646) 820 9452,1,,$20,,,,,,,,,
Aimée Allen Trio w/ Tony Romano & Francois Moutin – “Suite Ephemera”,Aimée Allen Trio w/ Tony Romano & Francois Moutin – “Suite Ephemera”,ShapeShifter Café,,,,Brooklyn,05/24/2024,05/24/2024,19:00:00,20:00:00,,,https://shapeshifterplus.org/events/month/2024-05/,(646) 820 9452,1,,$20,,,,,,,,,
Dan Loomis - Revolutions Album Release Concert,Dan Loomis - Revolutions Album Release Concert,Soapbox Gallery,,,,Brooklyn,05-03-2024,05-03-2024,20:00:00,21:30:00,,,https://www.soapboxgallery.org/calendar,No phone no,1,,$25,,,,,,,,,
Akihito Gorai Group,Akihito Gorai Group,Soapbox Gallery,,,,Brooklyn,05/16/2024,05/16/2024,20:00:00,21:30:00,,,https://www.soapboxgallery.org/calendar,No phone no,1,,$25,,,,,,,,,
"Ray Scro featuring Santi Debriano on bass, Dwayne 'Cook' Broadnax on drums and Mamiko Watanabe on piano","Ray Scro featuring Santi Debriano on bass, Dwayne 'Cook' Broadnax on drums and Mamiko Watanabe on piano",Superfine,,,,Brooklyn,05-08-2024,05-08-2024,19:00:00,22:00:00,,,https://www.superfine.nyc/event/jazz-jam-1/,(718) 243 9005,1,,,,,,,,,,,
"Ray Scro featuring Santi Debriano on bass, Dwayne 'Cook' Broadnax on drums and Mamiko Watanabe on piano","Ray Scro featuring Santi Debriano on bass, Dwayne 'Cook' Broadnax on drums and Mamiko Watanabe on piano",Superfine,,,,Brooklyn,05/22/2024,05/22/2024,19:00:00,22:00:00,,,https://www.superfine.nyc/event/jazz-jam-1/,(718) 243 9005,1,,,,,,,,,,,
